"GeneID"	"EPI_ADIPO_KO_840"	"EPI_ADIPO_KO_843"	"EPI_ADIPO_KO_857"	"EPI_ADIPO_KO_891"	"EPI_ADIPO_WT_841"	"EPI_ADIPO_WT_842"	"EPI_ADIPO_WT_858"	"EPI_ADIPO_WT_892"
"ENSMUSG00000099399.6"	0	0	0	0	0	0	0	0
"ENSMUSG00000099619.6"	0	0	0	0	0	0	0	0
"ENSMUSG00000100533.6"	0	0	0	0	0	0	0	0
"ENSMUSG00000100574.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101533.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000100067.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000099436.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101984.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000100440.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000100930.1"	0.843503939693431	0	0	0	0	0	0	0
"ENSMUSG00000099643.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101770.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101866.1"	0.843503939693431	0	0	0	0	0	0	0
"ENSMUSG00000100243.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000099496.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000100887.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000100350.1"	0	0	0	0	0	0	0	2.8950061651691
"ENSMUSG00000099824.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101961.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000102061.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101282.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101989.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000099362.1"	0	0	10.8188261347303	0	0.77702003760009	1.68638934262885	0	0
"ENSMUSG00000099633.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000100407.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101508.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000100532.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101329.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000100035.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101907.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000100298.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000099480.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000100879.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101962.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000100187.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000102016.6"	0	0	0	0	0	0	0	0
"ENSMUSG00000100784.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000100328.6"	0	0	0	0	0	0	0	0
"ENSMUSG00000100849.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000102111.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000100063.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000100823.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101785.1"	0	0	0	0	0	0	0	0
